Sprint,Dev,Tarefa,Fracao,T_Din,Inicio,Fim,Duracao_Tarefa,T_Nominal_Original,T_Base_Calculado,F_Tech_ET,F_Beh_EC,P_Ctx,P_Com,P_Phi_Fadiga,P_Match,B_Apr_Acumulado,F_Total_Multiplicador,Cg_Idx_Sustentabilidade,VNS_Gap,Runtime
1,Dev_4,T14,1.0,18.799999999999997,37.599999999999994,56.39999999999999,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
3,Dev_4,T19,1.0,20.665999999999997,224.0,244.666,20.665999999999997,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.03200000000000001,1.5554999999999999,0.12083333333333333,179.52888888888893,210.95974731445312
2,Dev_4,T24,1.0,18.799999999999997,112.0,130.8,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
3,Dev_4,T25,1.0,29.632474999999996,244.666,274.298475,29.632474999999996,12,18.33,0.94,1.625,0.4,0.0,0.18749999999999994,0.0,0.08000000000000002,1.5074999999999998,0.12083333333333333,179.52888888888893,210.95974731445312
2,Dev_4,T29,1.0,18.799999999999997,130.8,149.60000000000002,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
5,Dev_4,T39,1.0,18.799999999999997,448.0,466.8,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
5,Dev_4,T44,1.0,18.415999999999997,466.8,485.216,18.415999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.03200000000000001,1.3679999999999999,0.1,179.52888888888893,210.95974731445312
3,Dev_4,T49,1.0,21.049999999999997,274.298475,295.348475,21.049999999999997,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
4,Dev_4,T61,1.0,34.53574999999999,336.0,370.53575,34.53574999999999,12,18.33,0.94,1.625,0.4,0.0,0.3749999999999999,0.0,0.0,1.775,0.14166666666666666,179.52888888888893,210.95974731445312
5,Dev_4,T64,1.0,17.36,485.216,502.576,17.36,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.12000000000000002,1.2799999999999998,0.1,179.52888888888893,210.95974731445312
4,Dev_4,T67,1.0,34.53574999999999,370.53575,405.0715,34.53574999999999,12,18.33,0.94,1.625,0.4,0.0,0.3749999999999999,0.0,0.0,1.775,0.14166666666666666,179.52888888888893,210.95974731445312
4,Dev_4,T69,1.0,23.299999999999997,405.0715,428.3715,23.299999999999997,12,12.0,1.0,1.0,0.4,0.0,0.3749999999999999,0.0,0.0,1.775,0.14166666666666666,179.52888888888893,210.95974731445312
2,Dev_4,T74,1.0,18.799999999999997,149.60000000000002,168.40000000000003,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
